"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"0",740,760,0,0,1.0,0.49333333333333335,1.0,0.0,0.6607142857142857,,
"1",0,0,854,646,0.0,,0.0,1.0,,,
"2",0,0,1426,74,0.0,,0.0,1.0,,,
"3",0,0,1474,26,0.0,,0.0,1.0,,,
"4",0,0,1492,8,0.0,,0.0,1.0,,,
"5",0,0,1498,2,0.0,,0.0,1.0,,,
"6",0,0,1499,1,0.0,,0.0,1.0,,,
"7",0,0,1499,1,0.0,,0.0,1.0,,,
"8",0,0,1499,1,0.0,,0.0,1.0,,,
"9",0,0,1499,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49333333333333335,0.0
"0",1499,1502,0,0,1.0,0.4995001666111296,1.0,0.0,0.6662222222222222,,
"1",0,0,1727,1274,0.0,,0.0,1.0,,,
"2",0,0,2856,145,0.0,,0.0,1.0,,,
"3",0,0,2946,55,0.0,,0.0,1.0,,,
"4",0,0,2990,11,0.0,,0.0,1.0,,,
"5",0,0,2992,9,0.0,,0.0,1.0,,,
"6",0,0,2996,5,0.0,,0.0,1.0,,,
"7",0,0,3000,1,0.0,,0.0,1.0,,,
"8",0,0,2999,2,0.0,,0.0,1.0,,,
"9",0,0,3001,0,,,,1.0,,,
"Overall",,,,,,,,,,0.4995001666111296,0.0
"0",2284,2217,0,0,1.0,0.507442790491002,1.0,0.0,0.673249815770081,,
"1",0,0,2608,1893,0.0,,0.0,1.0,,,
"2",0,0,4299,202,0.0,,0.0,1.0,,,
"3",0,0,4419,82,0.0,,0.0,1.0,,,
"4",0,0,4479,22,0.0,,0.0,1.0,,,
"5",0,0,4492,9,0.0,,0.0,1.0,,,
"6",0,0,4494,7,0.0,,0.0,1.0,,,
"7",0,0,4501,0,,,,1.0,,,
"8",0,0,4500,1,0.0,,0.0,1.0,,,
"9",0,0,4500,1,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.507442790491002,0.0
"0",3013,2989,0,0,1.0,0.5019993335554815,1.0,0.0,0.6684414864115363,,
"1",0,0,3480,2522,0.0,,0.0,1.0,,,
"2",0,0,5715,287,0.0,,0.0,1.0,,,
"3",0,0,5876,126,0.0,,0.0,1.0,,,
"4",0,0,5974,28,0.0,,0.0,1.0,,,
"5",0,0,5987,15,0.0,,0.0,1.0,,,
"6",0,0,5993,9,0.0,,0.0,1.0,,,
"7",0,0,6000,2,0.0,,0.0,1.0,,,
"8",0,0,6002,0,,,,1.0,,,
"9",0,0,6002,0,,,,1.0,,,
"Overall",,,,,,,,,,0.5019993335554815,0.0
"0",3743,3760,0,0,1.0,0.49886711981873916,1.0,0.0,0.6656589009425574,,
"1",0,0,4358,3145,0.0,,0.0,1.0,,,
"2",0,0,7102,401,0.0,,0.0,1.0,,,
"3",0,0,7351,152,0.0,,0.0,1.0,,,
"4",0,0,7479,24,0.0,,0.0,1.0,,,
"5",0,0,7485,18,0.0,,0.0,1.0,,,
"6",0,0,7490,13,0.0,,0.0,1.0,,,
"7",0,0,7501,2,0.0,,0.0,1.0,,,
"8",0,0,7500,3,0.0,,0.0,1.0,,,
"9",0,0,7501,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49886711981873916,0.0
"0",4465,4538,0,0,1.0,0.49594579584582915,1.0,0.0,0.6630531630531631,,
"1",0,0,5148,3855,0.0,,0.0,1.0,,,
"2",0,0,8573,430,0.0,,0.0,1.0,,,
"3",0,0,8816,187,0.0,,0.0,1.0,,,
"4",0,0,8969,34,0.0,,0.0,1.0,,,
"5",0,0,8986,17,0.0,,0.0,1.0,,,
"6",0,0,8992,11,0.0,,0.0,1.0,,,
"7",0,0,9001,2,0.0,,0.0,1.0,,,
"8",0,0,9003,0,,,,1.0,,,
"9",0,0,9001,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49594579584582915,0.0
"0",5259,5245,0,0,1.0,0.5006664127951257,1.0,0.0,0.667258770538603,,
"1",0,0,6084,4420,0.0,,0.0,1.0,,,
"2",0,0,9992,512,0.0,,0.0,1.0,,,
"3",0,0,10276,228,0.0,,0.0,1.0,,,
"4",0,0,10463,41,0.0,,0.0,1.0,,,
"5",0,0,10485,19,0.0,,0.0,1.0,,,
"6",0,0,10487,17,0.0,,0.0,1.0,,,
"7",0,0,10501,3,0.0,,0.0,1.0,,,
"8",0,0,10501,3,0.0,,0.0,1.0,,,
"9",0,0,10502,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5006664127951257,0.0
"0",5991,6013,0,0,1.0,0.49908363878707096,1.0,0.0,0.6658516254515143,,
"1",0,0,6893,5111,0.0,,0.0,1.0,,,
"2",0,0,11432,572,0.0,,0.0,1.0,,,
"3",0,0,11768,236,0.0,,0.0,1.0,,,
"4",0,0,11961,43,0.0,,0.0,1.0,,,
"5",0,0,11976,28,0.0,,0.0,1.0,,,
"6",0,0,11987,17,0.0,,0.0,1.0,,,
"7",0,0,12002,2,0.0,,0.0,1.0,,,
"8",0,0,12002,2,0.0,,0.0,1.0,,,
"9",0,0,12002,2,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.49908363878707096,0.0
"0",6767,6738,0,0,1.0,0.5010736764161422,1.0,0.0,0.6676203630623521,,
"1",0,0,7788,5717,0.0,,0.0,1.0,,,
"2",0,0,12863,642,0.0,,0.0,1.0,,,
"3",0,0,13230,275,0.0,,0.0,1.0,,,
"4",0,0,13457,48,0.0,,0.0,1.0,,,
"5",0,0,13478,27,0.0,,0.0,1.0,,,
"6",0,0,13485,20,0.0,,0.0,1.0,,,
"7",0,0,13502,3,0.0,,0.0,1.0,,,
"8",0,0,13502,3,0.0,,0.0,1.0,,,
"9",0,0,13502,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.5010736764161422,0.0
"0",7496,7510,0,0,1.0,0.4995335199253632,1.0,0.0,0.6662518887210026,,
"1",0,0,8647,6359,0.0,,0.0,1.0,,,
"2",0,0,14282,724,0.0,,0.0,1.0,,,
"3",0,0,14698,308,0.0,,0.0,1.0,,,
"4",0,0,14950,56,0.0,,0.0,1.0,,,
"5",0,0,14974,32,0.0,,0.0,1.0,,,
"6",0,0,14984,22,0.0,,0.0,1.0,,,
"7",0,0,15003,3,0.0,,0.0,1.0,,,
"8",0,0,15003,3,0.0,,0.0,1.0,,,
"9",0,0,15003,3,0.0,,0.0,1.0,,,
"Overall",,,,,,,,,,0.4995335199253632,0.0
